Ten minute period number,Active occupant count in time period,Probability of transition to zero active occupants in next time period,Probability of transition to one active occupant in next time period,Probability of transition to two active occupants in next time period,Probability of transition to three active occupants in next time period,Probability of transition to four active occupants in next time period,Probability of transition to five active occupants in next time period,Probability of transition to six active occupants in next time period
60,3,0.000,0.001,0.082,0.902,0.015,0.000,0
60,4,0.000,0.000,0.004,0.097,0.890,0.008,0
60,5,0.000,0.000,0.000,0.012,0.117,0.871,0
60,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
61,0,1.000,0.000,0.000,0.000,0.000,0.000,0
61,1,0.035,0.965,0.000,0.000,0.000,0.000,0
61,2,0.000,0.060,0.940,0.000,0.000,0.000,0
61,3,0.000,0.005,0.091,0.904,0.000,0.000,0
61,4,0.000,0.000,0.005,0.111,0.883,0.000,0
61,5,0.000,0.000,0.000,0.004,0.134,0.862,0
61,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
62,0,0.776,0.205,0.019,0.000,0.000,0.000,0
62,1,0.083,0.753,0.144,0.021,0.000,0.000,0
62,2,0.007,0.133,0.733,0.119,0.007,0.000,0
62,3,0.001,0.018,0.190,0.712,0.078,0.001,0
62,4,0.000,0.005,0.034,0.231,0.692,0.038,0
62,5,0.000,0.000,0.000,0.036,0.254,0.710,0
62,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
